,name,address,website,phone_number,reviews_count,reviews_average,images
10,Nhân Billiards,"108 Trần Não, Bình An, Quận 2, Thành phố Hồ Chí Minh, Vietnam",facebook.com,+84 90 166 86 88,36,4.1,"['https://lh5.googleusercontent.com/p/AF1QipPvixOz9RgSoP3j53jE8dLaLn-5HGuyfmpvJIxC', 'https://lh5.googleusercontent.com/p/AF1QipOzHOa4kkR_8odoiC56bIXw047lBxBNnLicUSGo']"
11,Club Bida Q2,"16 Đ. 12, P. Bình An, Quận 2, Thành phố Hồ Chí Minh, Vietnam",facebook.com,+84 383 275 790,25,4.2,"['https://lh5.googleusercontent.com/p/AF1QipMuUAAGS8kz2Kr0caDSdBPSkH55BVPualW1CtPW', 'https://lh5.googleusercontent.com/p/AF1QipPvixOz9RgSoP3j53jE8dLaLn-5HGuyfmpvJIxC']"
12,99 BILLIARDS CLUB QUẬN 2,"18 Nguyễn Quý Cảnh, Khu đô thị An Phú An Khánh, Quận 2, Thành phố Hồ Chí Minh, Vietnam",m.facebook.com,+84 879 606 999,12,5.0,"['https://lh5.googleusercontent.com/p/AF1QipPFm230KmsyDTYUrlDH9hKFszow_68L-AhqwkHd', 'https://lh5.googleusercontent.com/p/AF1QipMuUAAGS8kz2Kr0caDSdBPSkH55BVPualW1CtPW']"
13,Câu Lạc Bộ Văn Minh Bida Quận 2,"18 Đường số 53, An Phú, Quận 2, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam",bidavanminh.vn,+84 97 832 67 78,8,5.0,"['https://lh5.googleusercontent.com/p/AF1QipPs-kSrMtARKyeCJ6snAnJg-65ZNHrHDrR24zef', 'https://lh5.googleusercontent.com/p/AF1QipPFm230KmsyDTYUrlDH9hKFszow_68L-AhqwkHd']"
14,Bida Thadico,"138 Cao Đức Lân, An Phú, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam",,,11,4.1,"['https://lh5.googleusercontent.com/p/AF1QipPBkUy8XUG1o7DWEh3jmrFyMFC6_r3g5rGyVAEj', 'https://lh5.googleusercontent.com/p/AF1QipPs-kSrMtARKyeCJ6snAnJg-65ZNHrHDrR24zef']"
15,Clb Bida Phong Lưu,"142 Trần Não, P. Bình An, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,,2,3.5,"['https://lh5.googleusercontent.com/p/AF1QipPBkUy8XUG1o7DWEh3jmrFyMFC6_r3g5rGyVAEj', 'https://lh3.googleusercontent.com/a-/AD_cMMQikZXOt_cbCgArXkxIA64sqPHFaSM_ZGKV4iicgP8']"
16,CLB Bida 247,"QQF8+Q22, Phường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,+84 98 608 94 49,,,"['https://lh5.googleusercontent.com/p/AF1QipPFYT7OvryF6yvKwhnvUZwDSsFZTf4Ksdpsxfs5', 'https://lh5.googleusercontent.com/p/AF1QipNGe80lu6EK6q97S_D242R3n7JfHWMicLXRUnCC']"
17,CLB Bida Đỗ Vương - Do Vuong Billiards Club,"178 Đ. Hoàng Diệu 2, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",,+84 98 373 58 78,41,4.4,"['https://lh5.googleusercontent.com/p/AF1QipNJFlbl5OklJa-4RMzbexuQVLsJmUhKc_FWyW8Y', 'https://lh5.googleusercontent.com/p/AF1QipMs2dMMLAF4-5IWI_fde6anGTlGl70KVTIyKzhH']"
18,Zakdang Billiard Club Quận 2,"24/5F Lương Định Của, An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam",zakdang.billikorea.com,+84 399 176 012,76,4.3,"['https://lh5.googleusercontent.com/p/AF1QipMKss6QgmgYvUvbBb5bLin5AcfNL1d_e4t_doNg', 'https://lh5.googleusercontent.com/p/AF1QipNJFlbl5OklJa-4RMzbexuQVLsJmUhKc_FWyW8Y']"
19,BIDA LUXURY CLUB,"6 Đ. Nguyễn Duy Trinh, Bình Trưng Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,,2,5.0,"['https://lh5.googleusercontent.com/p/AF1QipOCNxazPtS0JjG5j_q5cfhaWtbvtdQW-GbI1Yf9', 'https://lh5.googleusercontent.com/p/AF1QipMKss6QgmgYvUvbBb5bLin5AcfNL1d_e4t_doNg']"
20,Mega Billiards Club,"262/7 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 27145, Vietnam",business.site,+84 28 6687 6666,13,4.7,"['https://lh5.googleusercontent.com/p/AF1QipNHv5vd2ERtWYSZroBhTnsUi76YE6E0dBleGKcx', 'https://lh5.googleusercontent.com/p/AF1QipPY-qbiAgOsTt6CCzkCMt6kX4VEGJnZFvSoPl_b']"
21,Bida Bảo Bình - Bảo Bình Billiards Club,"35 Phạm Ngọc Thạch, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",bidabaobinh.blogspot.com,+84 90 234 00 29,513,4.2,"['https://lh5.googleusercontent.com/p/AF1QipPBpZRS5MvZ2eUK8-B3W_Ih75R62Czb-APDeHSr', 'https://lh5.googleusercontent.com/p/AF1QipNHv5vd2ERtWYSZroBhTnsUi76YE6E0dBleGKcx']"
22,Billiards Pub 26,"46, Nguyễn Hiền, Phường 4, Quận 3,Tp .Hồ Chí Minh, Vietnam",,+84 28 3832 7330,,,"['https://lh5.googleusercontent.com/p/AF1QipPBpZRS5MvZ2eUK8-B3W_Ih75R62Czb-APDeHSr', 'https://lh5.googleusercontent.com/p/AF1QipPY-qbiAgOsTt6CCzkCMt6kX4VEGJnZFvSoPl_b']"
23,HK Billard Club,"52 Ngô Quyền, Hiệp Phú, Quận 9, Thành phố Hồ Chí Minh, Vietnam",,+84 90 336 00 00,5,4.4,"['https://lh5.googleusercontent.com/p/AF1QipPp-cqMMYXJDVmJT0y9DGMoDwN8xI4j-uwW23AV', 'https://lh5.googleusercontent.com/p/AF1QipNuKgcmhbJo2JieEoatKA0rsq7s5J63knRDvXlu']"
24,Clb Billiards 21,"21 Rạch Bùng Binh, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3921 2633,,,"['https://lh5.googleusercontent.com/p/AF1QipPp-cqMMYXJDVmJT0y9DGMoDwN8xI4j-uwW23AV', 'https://lh5.googleusercontent.com/p/AF1QipPY-qbiAgOsTt6CCzkCMt6kX4VEGJnZFvSoPl_b']"
25,Clb Billiards 261,"261 Hoàng Hữu Nam, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh, Vietnam",,+84 90 225 38 22,4,4.8,"['https://lh3.googleusercontent.com/a-/AD_cMMRRs_JiRO4JUOrjcYkOn3dAmGJd6KCCRfS9Vms2PQ', 'https://lh3.googleusercontent.com/a/AAcHTtf6zRj6TwJJg3LgNjQY2krSA1l_nJMI9dExaoHA']"
26,CLB Bida Đỗ Vương - Do Vuong Billiards Club,"178 Đ. Hoàng Diệu 2, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",,+84 98 373 58 78,41,4.4,"['https://lh5.googleusercontent.com/p/AF1QipNJFlbl5OklJa-4RMzbexuQVLsJmUhKc_FWyW8Y', 'https://lh5.googleusercontent.com/p/AF1QipMs2dMMLAF4-5IWI_fde6anGTlGl70KVTIyKzhH']"
27,Bida Chuyên Nghiệp,"202 Đ. Nguyễn Thiện Thuật, Phường 3, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3832 4009,43,3.9,"['https://lh5.googleusercontent.com/p/AF1QipP2Gs2BkKMEYv_VBHDY9t9aJRVBrVfe7s3YA6x2', 'https://lh5.googleusercontent.com/p/AF1QipNJFlbl5OklJa-4RMzbexuQVLsJmUhKc_FWyW8Y']"
28,CLB BILLARDS,"143 Lý Chính Thắng, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,,,,"['https://lh5.googleusercontent.com/p/AF1QipMJ01PFfhh1HhO5k2mHIZLYy8YicuGXProvlELm', 'https://lh5.googleusercontent.com/p/AF1QipP2Gs2BkKMEYv_VBHDY9t9aJRVBrVfe7s3YA6x2']"
29,BILLIARDS NHẪN SINH CLUB,"5 Đ. Đỗ Thị Lời, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,+84 90 133 13 21,,,"['https://lh5.googleusercontent.com/p/AF1QipMJ01PFfhh1HhO5k2mHIZLYy8YicuGXProvlELm', 'https://lh5.googleusercontent.com/p/AF1QipPY-qbiAgOsTt6CCzkCMt6kX4VEGJnZFvSoPl_b']"
30,Billiard Club 5 Stars,"214-216, Đ. Số 48, Phường 3, Quận 4, Thành phố Hồ Chí Minh, Vietnam",,+84 28 6680 7257,206,4.1,"['https://lh5.googleusercontent.com/p/AF1QipP1RayZ51PJmLjJEp7e4KyjeDJths16P_gKl0fj', 'https://lh5.googleusercontent.com/p/AF1QipPVkzo1SOZEO6J8byBKUgOcV5nvYG2dikfl3uGp']"
31,Bida Club,"306 Tôn Đản, Phường 4, Quận 4, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3940 4339,5,4.8,"['https://lh5.googleusercontent.com/p/AF1QipP1RayZ51PJmLjJEp7e4KyjeDJths16P_gKl0fj', 'https://lh3.googleusercontent.com/a-/AD_cMMTCYyrGXkRRNyyFZFFlucn8hdVUZRETcTY3XPLU']"
32,Billiards Club Kingdom,"78 Nguyễn Khoái, Phường 2, Quận 4, Thành phố Hồ Chí Minh, Vietnam",,,1,2.0,"['https://lh3.googleusercontent.com/a-/AD_cMMSfQ8uIFQ_yHyZj-ahj6ewij8akRlONnqPZdztNpg', 'https://lh5.googleusercontent.com/p/AF1QipM5mE7BJFuArKFiipLJ19_DFbFjcx5GR_lNXtMK']"
33,Câu lạc bộ Bida Kingdom,"80 Nguyễn Khoái, Phường 2, Quận 4, Thành phố Hồ Chí Minh, Vietnam",,+84 94 470 04 56,25,3.2,"['https://lh5.googleusercontent.com/p/AF1QipM5mE7BJFuArKFiipLJ19_DFbFjcx5GR_lNXtMK', 'https://lh5.googleusercontent.com/p/AF1QipOqGyBFaLK_kkRFLwST1S-jmNI-6TYiZ9ZHer3u']"
34,Clb Billiards 261,"261 Hoàng Hữu Nam, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh, Vietnam",,+84 90 225 38 22,4,4.8,"['https://lh5.googleusercontent.com/p/AF1QipM5mE7BJFuArKFiipLJ19_DFbFjcx5GR_lNXtMK', 'https://lh3.googleusercontent.com/a-/AD_cMMRRs_JiRO4JUOrjcYkOn3dAmGJd6KCCRfS9Vms2PQ']"
35,Tiệm Billards 188,"QP42+4R2, Đ. Khánh Hội, Phường 4, Quận 4, Thành phố Hồ Chí Minh, Vietnam",,+84 90 382 45 01,,,['https://lh5.googleusercontent.com/p/AF1QipOsbm9AE1G9Ke9SBUqig1IjDMGmsp0LykVtB377']
36,Clb Billiards 79,"9 Lã Xuân Oai, Tăng Nhơn Phú A, Quận 9, Thành phố Hồ Chí Minh, Vietnam",,,,,['https://lh5.googleusercontent.com/p/AF1QipPiw9MLrCmBVJkhDcMOlQgdI7IrGipZGOwk980L']
37,Billiard Phúc Long,"6e Đ. An Bình, Phường 5, Quận 5, Thành phố Hồ Chí Minh, Vietnam",facebook.com,+84 90 376 28 52,128,4.0,"['https://lh5.googleusercontent.com/p/AF1QipNTD95IizTB8Frxmy_MkXDSt1YFlxZFhZfAF7vn', 'https://lh5.googleusercontent.com/p/AF1QipO-MNolIjnb9a8QJ_CW3oG9X8UWH7IDb8IMCjWh']"
38,Clb Billiards Trần Phú,"3 Đ. Trần Phú, Phường 4, Quận 5, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3835 4563,1,1.0,"['https://lh5.googleusercontent.com/p/AF1QipNTD95IizTB8Frxmy_MkXDSt1YFlxZFhZfAF7vn', 'https://lh3.googleusercontent.com/a/AAcHTtfiFcUzc7Rxe8rupD-ED6RbYPaW1Kv112x63L3i']"
39,Clb Billiards Ad,"11 Đ. An Điềm, Phường 10, Quận 5, Thành phố Hồ Chí Minh, Vietnam",,,1,4.0,"['https://lh3.googleusercontent.com/a-/AD_cMMRmEaKH9VkYH8FlUB-L0kjQspPyJ3GfSUiMSWj6cw', 'https://lh5.googleusercontent.com/p/AF1QipNTD95IizTB8Frxmy_MkXDSt1YFlxZFhZfAF7vn']"
40,Câu Lạc Bộ Billiards 336,"336 Đ. Nguyễn Chí Thanh, Phường 5, Quận 5, Thành phố Hồ Chí Minh, Vietnam",,,17,4.2,"['https://lh5.googleusercontent.com/p/AF1QipOhq2l92GsjpnETrGKlis3bRiPA213zGIVkOX7q', 'https://lh5.googleusercontent.com/p/AF1QipMmb3FLJ1yjctv-MR8lvtNyCI_mjRzf2AtJcogQ']"
41,Clb Billiards 261,"261 Hoàng Hữu Nam, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh, Vietnam",,+84 90 225 38 22,4,4.8,"['https://lh5.googleusercontent.com/p/AF1QipOhq2l92GsjpnETrGKlis3bRiPA213zGIVkOX7q', 'https://lh3.googleusercontent.com/a-/AD_cMMRRs_JiRO4JUOrjcYkOn3dAmGJd6KCCRfS9Vms2PQ']"
42,Club Billiards NHẪN & SINH,"50A2 Đ. 79, Phước Long B, Quận 9, Thành phố Hồ Chí Minh 100000, Vietnam",,+84 90 386 64 63,4,4.5,"['https://lh5.googleusercontent.com/p/AF1QipNzHyoQF9Hvf4Q6oh8p3460aZVN10GGiPsYT-tA', 'https://lh3.googleusercontent.com/a-/AD_cMMTp4JEtCI5-2FRHTUOwJAUWJeMumo-JSthF6Bu7E2Y']"
43,Clb Billiards Thiên Phúc Honey,"6 Đ. Nguyễn Biểu, Phường 1, Quận 5, Thành phố Hồ Chí Minh, Vietnam",,+84 377 039 494,,,"['https://lh5.googleusercontent.com/p/AF1QipNzHyoQF9Hvf4Q6oh8p3460aZVN10GGiPsYT-tA', 'https://www.google.com/maps/vt/data']"
44,Billiard Thành Tâm,"165 Đ. Hùng Vương, Phường 9, Quận 5, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3833 0722,53,4.4,"['https://lh5.googleusercontent.com/p/AF1QipPuHY2tfsleZ3c-W_eFp1EIRQ-UZfkiJpjOO24c', 'https://lh5.googleusercontent.com/p/AF1QipMfRAwfswkkCsRVnJ084b8Bq9eephIU-40AsFTz']"
45,HK Billard Club,"52 Ngô Quyền, Hiệp Phú, Quận 9, Thành phố Hồ Chí Minh, Vietnam",,+84 90 336 00 00,5,4.4,"['https://lh5.googleusercontent.com/p/AF1QipPp-cqMMYXJDVmJT0y9DGMoDwN8xI4j-uwW23AV', 'https://lh5.googleusercontent.com/p/AF1QipPuHY2tfsleZ3c-W_eFp1EIRQ-UZfkiJpjOO24c']"
46,Billiard Club 5 Stars,"214-216, Đ. Số 48, Phường 3, Quận 4, Thành phố Hồ Chí Minh, Vietnam",,+84 28 6680 7257,206,4.1,"['https://lh5.googleusercontent.com/p/AF1QipP1RayZ51PJmLjJEp7e4KyjeDJths16P_gKl0fj', 'https://lh5.googleusercontent.com/p/AF1QipPp-cqMMYXJDVmJT0y9DGMoDwN8xI4j-uwW23AV']"
47,INDAHOOD Billiards Club Quận 6,"710/8 Đ. Hậu Giang, Phường 12, Quận 6, Thành phố Hồ Chí Minh, Vietnam",,+84 865 864 447,18,4.0,"['https://lh5.googleusercontent.com/p/AF1QipNJZ5v374bf-73XTgFWY4C7Xf22OJnXtoWyqCau', 'https://lh5.googleusercontent.com/p/AF1QipPLcIp3kKuRAExY66g5vs6nUbBgzLQDWoB21KMc']"
48,Billiards Club Phương Vy,"87/5 Đ. Hoàng Diệu 2, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",,,19,4.0,"['https://lh5.googleusercontent.com/p/AF1QipP3bCGEP967QeFyt9EUOfI_Tqbo5o0Dv2qUw6hX', 'https://lh5.googleusercontent.com/p/AF1QipNJZ5v374bf-73XTgFWY4C7Xf22OJnXtoWyqCau']"
49,Pro Billiard Club Q6,"98 Đường số 26, Phường 10, Quận 6, Thành phố Hồ Chí Minh, Vietnam",,,14,4.3,"['https://lh5.googleusercontent.com/p/AF1QipNRc_M63PxaCoNe1K-QfdfojGEMgx0LN2Ay482v', 'https://lh5.googleusercontent.com/p/AF1QipP3bCGEP967QeFyt9EUOfI_Tqbo5o0Dv2qUw6hX']"
50,Clb Bida Long Hi,"644 Đ. An D. Vương, Phường 11, Quận 6, Thành phố Hồ Chí Minh, Vietnam",,,14,4.9,"['https://lh5.googleusercontent.com/p/AF1QipP_eiG7scdx8rgfuqjw_hFUy2z4-N44FUigEUul', 'https://lh5.googleusercontent.com/p/AF1QipNRc_M63PxaCoNe1K-QfdfojGEMgx0LN2Ay482v']"
51,REMAX BILLIARDS CLUB,"116 Đ. Bãi Sậy, Phường 1, Quận 6, Thành phố Hồ Chí Minh, Vietnam",,+84 94 336 36 36,,,"['https://lh5.googleusercontent.com/p/AF1QipP_eiG7scdx8rgfuqjw_hFUy2z4-N44FUigEUul', 'https://lh5.googleusercontent.com/p/AF1QipNJlq1q-IJmbfgucgQEwYS7Vn-jfwpNhUC6S0td']"
52,Clb Bida Điểm Hẹn,"336 Đ. Nguyễn Văn Luông, Phường 12, Quận 6, Thành phố Hồ Chí Minh 700000, Vietnam",,,,,"['https://lh5.googleusercontent.com/p/AF1QipP_eiG7scdx8rgfuqjw_hFUy2z4-N44FUigEUul', 'https://lh5.googleusercontent.com/p/AF1QipO_J7JYKCWoLoJ4JiXKicXZia7ewtVg67qHBvKC']"
53,Billiard A7 Club,"38 Đ. số 17, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",,,,,['https://lh5.googleusercontent.com/p/AF1QipNzHyoQF9Hvf4Q6oh8p3460aZVN10GGiPsYT-tA']
54,Clb Billiards Thanh Hải,"373 Đặng Nguyên Cẩn, Phường 13, Quận 6, Thành phố Hồ Chí Minh, Vietnam",,,,,"['https://lh5.googleusercontent.com/p/AF1QipP_eiG7scdx8rgfuqjw_hFUy2z4-N44FUigEUul', 'https://lh5.googleusercontent.com/p/AF1QipNCF3-pstBf7kwZCfEfkvlf-UcSTb5Cqq-NwTmO']"
55,Billiards 365 - CLB Bida 365 số 65A cây Keo Thủ Đức,"65A Đường Cây Keo, Khu Phố 1, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",facebook.com,+84 93 505 59 38,9,4.8,"['https://lh5.googleusercontent.com/p/AF1QipO6Mu6Goo7zuIP-2lIQ75ohqBFpHkGflDq7ZYa5', 'https://lh5.googleusercontent.com/p/AF1QipOzML70pWXVnUQGYr-LDLRWScXfyWWaraY90Qtw']"
56,Clb Bida Đỉnh Cao,"135 Đ. Trần Văn Kiểu, Phường 11, Quận 6, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3900 4549,28,4.1,"['https://lh5.googleusercontent.com/p/AF1QipPXTstsJDzt6ssWQh523RNfMyC7cT5PHu4-eLy8', 'https://lh5.googleusercontent.com/p/AF1QipO6Mu6Goo7zuIP-2lIQ75ohqBFpHkGflDq7ZYa5']"
57,Paradise Billiard Club- Pool- Carom- Snooker,"26E Đường số 53, Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Vietnam",,+84 389 638 666,39,4.2,"['https://lh5.googleusercontent.com/p/AF1QipOGP674IiOny_j6ts7lC6ALGHD7MMWu4jJEO2Q', 'https://lh5.googleusercontent.com/p/AF1QipMJNJP0zhqNO_v_MgYtv3v0Lh94XxS1QVAyRkc']"
58,Clb Billiards 84,"84 Nguyễn Thị Thập, Bình Thuận, Quận 7, Thành phố Hồ Chí Minh, Vietnam",,,1,3.0,"['https://lh5.googleusercontent.com/p/AF1QipOGP674IiOny_j6ts7lC6ALGHD7MMWu4jJEO2Q', 'https://lh3.googleusercontent.com/a-/AD_cMMQ9TrXcfm9-iH0Hk8jnZkVP31kZKBb9ETI7cpy-eg']"
59,Câu Lạc Bộ Bida Sao 4,"477 Nguyễn Thị Thập, Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3535 4878,60,4.0,"['https://lh5.googleusercontent.com/p/AF1QipPWCV5pNXyeNfjtnDGWln23DPmmGOHYRCaVmx1s', 'https://lh5.googleusercontent.com/p/AF1QipNWm8QSkicnxuPDh3rNK3HZmhLY3FhvGY4bRsCl']"
60,CLB Bida The Bulldogs,"187A Trần Xuân Soạn, Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam",thebulldogsclub.com,+84 28 7300 5676,15,4.4,"['https://lh5.googleusercontent.com/p/AF1QipPRynpt9G2-DfmhkVQt28S5DE0dLl_KuzCV65Le', 'https://lh5.googleusercontent.com/p/AF1QipPWCV5pNXyeNfjtnDGWln23DPmmGOHYRCaVmx1s']"
61,Câu Lạc Bộ Bida,"6 Trần Trọng Cung, Tân Thuận Đông, 7, Thành phố Hồ Chí Minh, Vietnam",,+84 28 2213 1495,18,3.8,"['https://lh5.googleusercontent.com/p/AF1QipMaiexwiZtXJszpus7wh6k-HthbPC1RgHCE9dO5', 'https://lh5.googleusercontent.com/p/AF1QipPRynpt9G2-DfmhkVQt28S5DE0dLl_KuzCV65Le']"
62,Club BiDa Pi Long,"12 Mai Văn Vĩnh, Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Vietnam",,+84 888 884 445,14,4.2,"['https://lh5.googleusercontent.com/p/AF1QipNc_t3cJtogwhEa1z_6hpufwq3oJnDHb3nl8NPY', 'https://lh5.googleusercontent.com/p/AF1QipMaiexwiZtXJszpus7wh6k-HthbPC1RgHCE9dO5']"
63,Billiard A7 Club,"38 Đ. số 17, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",,,,,"['https://lh5.googleusercontent.com/p/AF1QipNc_t3cJtogwhEa1z_6hpufwq3oJnDHb3nl8NPY', 'https://lh5.googleusercontent.com/p/AF1QipNzHyoQF9Hvf4Q6oh8p3460aZVN10GGiPsYT-tA']"
64,CLB BIDA - DIAMOND BALL 67,"67 Mai Văn Vĩnh, Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Vietnam",facebook.com,+84 325 415 927,12,4.6,"['https://lh5.googleusercontent.com/p/AF1QipM59x4Qvys17A1l-JntcsDqmwGA2rwgouGKnI0O', 'https://lh5.googleusercontent.com/p/AF1QipPuL8amw2TEEAICvuQzzboMON0RKQXdcJlEfcB3']"
65,Clb Bida Thanh Hồng,"93 Gò Ô Môi, Phú Thuận, Quận 7, Thành phố Hồ Chí Minh, Vietnam",,,2,4.0,"['https://lh5.googleusercontent.com/p/AF1QipM3BQG73WvVGk8FmV45b-WihJz8_tybO5j1StVO', 'https://lh5.googleusercontent.com/p/AF1QipM59x4Qvys17A1l-JntcsDqmwGA2rwgouGKnI0O']"
66,Empty Arena Billiards Q7 - Pro Pool Room,"771 Trần Xuân Soạn, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh 72912, Vietnam",facebook.com,+84 97 454 67 71,15,4.9,"['https://lh5.googleusercontent.com/p/AF1QipMitqdchxYtsodpfr3rTbM90ytCOjY3NcYPlF7j', 'https://lh5.googleusercontent.com/p/AF1QipM3BQG73WvVGk8FmV45b-WihJz8_tybO5j1StVO']"
67,Thanh Danh Billiards Club,"488 Phạm Thế Hiển, Phường 4, Quận 8, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3850 5554,1,5.0,"['https://lh5.googleusercontent.com/p/AF1QipMWY2VRM40ZBFLgNhkfY-bftA7UO8WBgeQoEMZz', 'https://lh5.googleusercontent.com/p/AF1QipPYe25hHWBKk1wI3GB1r4vEgJr7USLKU9YBbsQf']"
