,name,address,website,phone_number,reviews_count,reviews_average,images
10,Mộc Riêu Nướng Võ Văn Kiệt,"318 Võ Văn Kiệt, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",mocquan.vn,+84 28 3836 4968,,,"['https://lh5.googleusercontent.com/p/AF1QipM4MknaBcM1Lt_tGoyanjlFlW-GoDXYewZu-u_w', 'https://lh5.googleusercontent.com/p/AF1QipO_ciZyhi1zlLHrprkY-s75LdkzlV0KVsqmeOk8']"
11,Chi Rứa Quán | Nhà Hàng Huế Quận 1,"Hẻm 15/29 Đ. Nguyễn Thị Minh Khai, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam",chiruaquan.com,+84 97 266 33 35,46,4.2,"['https://lh5.googleusercontent.com/p/AF1QipNPIFlpeK2ATpRjYSB02wAqOSoW0zbNeEC1-dFb', 'https://lh5.googleusercontent.com/p/AF1QipM4MknaBcM1Lt_tGoyanjlFlW-GoDXYewZu-u_w']"
12,Ngoc Suong 3 Restaurant,"106 Đ. Sương Nguyệt Anh, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3925 6939,,,"['https://lh5.googleusercontent.com/p/AF1QipOUb-YXUcIFjyFFUs7HLgf9MkkdIELadDMR7Ek', 'https://lh5.googleusercontent.com/p/AF1QipNPIFlpeK2ATpRjYSB02wAqOSoW0zbNeEC1-dFb']"
13,Gyu Shige - Ngưu Phồn - Hồ Tùng Mậu,"119 Đ. Hồ Tùng Mậu, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",gyushige.com.vn,+84 28 3822 5577,173,4.4,"['https://lh5.googleusercontent.com/p/AF1QipMlNWKTyARCK2OrjjCbv-ccx8Cbz1rAtdneqRPR', 'https://lh5.googleusercontent.com/p/AF1QipOUb-YXUcIFjyFFUs7HLgf9MkkdIELadDMR7Ek']"
14,Di Mai Restaurant,"138 Đ. Lê Thị Hồng Gấm, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam",nhahangdimai.com,+84 28 3821 7786,669,4.1,"['https://lh5.googleusercontent.com/p/AF1QipNRq9CGhuLtbeaO7qG9YsxquUzlXnjjrOeMB_mF', 'https://lh5.googleusercontent.com/p/AF1QipMlNWKTyARCK2OrjjCbv-ccx8Cbz1rAtdneqRPR']"
15,Nhà Hàng Hàn Quốc,"2 Chu Mạnh Trinh, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",pasgo.vn,+84 28 3823 7362,2,4.0,"['https://lh5.googleusercontent.com/p/AF1QipNRq9CGhuLtbeaO7qG9YsxquUzlXnjjrOeMB_mF', 'https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-']"
16,Gyu Shige - Ngưu Phồn - Đông Du,"48-50 Đông Du, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",gyushige.com.vn,+84 28 3915 1626,225,4.2,"['https://lh5.googleusercontent.com/p/AF1QipMKRNR8wHElUQWNBOGiNpljshjMZoc9nu3QCBTF', 'https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-']"
17,Somtam ZAAP,"136 Pasteur, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,+84 90 294 24 57,,,"['https://lh5.googleusercontent.com/p/AF1QipPz2Nbsgv863uXy1rNiThp-4mj1mXY_QKwqZspG', 'https://lh5.googleusercontent.com/p/AF1QipMKRNR8wHElUQWNBOGiNpljshjMZoc9nu3QCBTF']"
18,Nhà hàng Gyu Shige - Ngưu Phồn - Trần Hưng Đạo,"6A Đ. Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",gyushige.com.vn,+84 28 3821 3027,395,4.3,"['https://lh5.googleusercontent.com/p/AF1QipNptjxMGIkafZwkHiir2Cw46BOdnuexgBiJiV-h', 'https://lh5.googleusercontent.com/p/AF1QipPz2Nbsgv863uXy1rNiThp-4mj1mXY_QKwqZspG']"
19,Đoàn Viên Restaurant,"6 Huyền Trân Công Chúa, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",nhahangdoanvien.com.vn,+84 28 3933 0004,,,"['https://lh5.googleusercontent.com/p/AF1QipM99LxeFRqbuWdSBVxW9shiBgXFLzjk6F41YTXP', 'https://lh5.googleusercontent.com/p/AF1QipNptjxMGIkafZwkHiir2Cw46BOdnuexgBiJiV-h']"
20,LE 17 BISTRO,"17 Đ. Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",restaurants.accor.com,+84 28 3824 1555,74,4.3,"['https://lh5.googleusercontent.com/p/AF1QipMwUGjq-0meWp3hArX-8rty4BhlXLEruZ53va24', 'https://lh5.googleusercontent.com/p/AF1QipM99LxeFRqbuWdSBVxW9shiBgXFLzjk6F41YTXP']"
21,Square One,"2 Công Trường Lam Sơn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",hyatt.com,+84 28 3520 2359,181,4.6,"['https://lh5.googleusercontent.com/p/AF1QipPJgiMNoHruTVBAANaSqAfQLgv9u409Mbj6NE_w', 'https://lh5.googleusercontent.com/p/AF1QipMwUGjq-0meWp3hArX-8rty4BhlXLEruZ53va24']"
22,Kokugyu Japanese BBQ,"153 Tôn Thất Đạm, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",kokugyu.com.vn,+84 28 3821 1890,29,4.6,"['https://lh5.googleusercontent.com/p/AF1QipPQnYDKezHzDRMQjK1dYIKIm0rJekSt0fJY2F6H', 'https://lh5.googleusercontent.com/p/AF1QipPJgiMNoHruTVBAANaSqAfQLgv9u409Mbj6NE_w']"
23,San Fu Lou - Cantonese Kitchen (Le Lai),"76 Lê Lai, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Vietnam",sanfulou.com,+84 28 3823 9513,,,"['https://lh5.googleusercontent.com/p/AF1QipO3mrtiLMAhhYr2w7uH3-uAxHRiDn0jORFDtlOW', 'https://lh5.googleusercontent.com/p/AF1QipPQnYDKezHzDRMQjK1dYIKIm0rJekSt0fJY2F6H']"
24,RuNam d'Or,"3 Công xã Paris, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3829 3229,,,"['https://lh5.googleusercontent.com/p/AF1QipM2zMlv_bWPZZszwR5RZciPclLF0gbhhyeKCNp1', 'https://lh5.googleusercontent.com/p/AF1QipO3mrtiLMAhhYr2w7uH3-uAxHRiDn0jORFDtlOW']"
25,Rex Royal Court Restaurant,"141 Đ. Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3829 2186,58,4.5,"['https://lh5.googleusercontent.com/p/AF1QipM38FNqu6ckwC3D2iBHS3tM6ggRYzC6SUyQBC_Y', 'https://lh5.googleusercontent.com/p/AF1QipM2zMlv_bWPZZszwR5RZciPclLF0gbhhyeKCNp1']"
26,Dac San Pho 79 Restaurant,"79 Đ. Sương Nguyệt Anh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",pho79.vn,+84 96 677 32 79,,,"['https://lh5.googleusercontent.com/p/AF1QipNhM4PrenmXBkmeb6crE2ICrGv2BBl42_J6wgZD', 'https://lh5.googleusercontent.com/p/AF1QipM38FNqu6ckwC3D2iBHS3tM6ggRYzC6SUyQBC_Y']"
27,"Búp Sky Lounge & Restaurant | Nhà Hàng Rooftop Quận 1, Tp.HCM","65-67-69 Đ. Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",theodyshotel.com,+84 765 599 859,292,4.8,"['https://lh5.googleusercontent.com/p/AF1QipNhM4PrenmXBkmeb6crE2ICrGv2BBl42_J6wgZD', 'https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-']"
28,Pizza 4P's Ben Thanh,"8 Thủ Khoa Huân, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",pizza4ps.com,+84 28 3622 0500,,,"['https://lh5.googleusercontent.com/p/AF1QipPvBZm5arS5lnxo31THWVDF5UBDeCglIYXZndrb', 'https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-']"
29,MK Restaurant,"82 Đ. Nguyễn Du, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,+84 28 6292 1079,,,"['https://lh5.googleusercontent.com/p/AF1QipPZc6GGgrUtVw4O0BUGiwxCAFg4EWiH82JcPn_-', 'https://lh5.googleusercontent.com/p/AF1QipPvBZm5arS5lnxo31THWVDF5UBDeCglIYXZndrb']"
30,Côn Sơn Restaurant & Lounge,"80-84 Trần Quốc Thảo, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",business.google.com,+84 90 638 85 98,108,4.3,"['https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-', 'https://lh5.googleusercontent.com/p/AF1QipNxq2f06grYEj73ZgIPmVy7Xt044vT96Jq0uK36']"
31,"Búp Sky Lounge & Restaurant | Nhà Hàng Rooftop Quận 1, Tp.HCM","65-67-69 Đ. Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",theodyshotel.com,+84 765 599 859,292,4.8,"['https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-', 'https://lh5.googleusercontent.com/p/AF1QipNxq2f06grYEj73ZgIPmVy7Xt044vT96Jq0uK36']"
32,ĐÈN LỒNG QUÁN | NHÀ HÀNG QUẬN 2 | NHÀ HÀNG THẢO ĐIỀN | NHÀ HÀNG NGON QUẬN 2,"28 Đ. Thảo Điền, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Vietnam",denlongquan2.com,+84 785 592 999,77,4.9,"['https://lh5.googleusercontent.com/p/AF1QipNl4zsMt20CFfm-nkvr4Z_XWXXxdGvME3CmO3gl', 'https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-']"
33,Quan Bui Garden,"55A Ngô Quang Huy, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 70000, Vietnam",quan-bui.com,+84 28 3898 9088,,,"['https://lh5.googleusercontent.com/p/AF1QipN-ohjoe5j6X4fstboL2SFEgJ-jP14frA_IDFDb', 'https://lh5.googleusercontent.com/p/AF1QipNl4zsMt20CFfm-nkvr4Z_XWXXxdGvME3CmO3gl']"
34,Laang Restaurant,"22 Đ. Đặng Hữu Phổ, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 70000, Vietnam",laangsaigon.com,+84 28 6650 4344,459,4.5,"['https://lh5.googleusercontent.com/p/AF1QipPoBTi55yl9Fa_1-7SIQgq4KObEf5xSKPy_Bk2t', 'https://lh5.googleusercontent.com/p/AF1QipN-ohjoe5j6X4fstboL2SFEgJ-jP14frA_IDFDb']"
35,NHÀ HÀNG CỐI ĐÁ CN SÔNG GIỒNG | ẨM THỰC QUẬN 2 | NHÀ HÀNG QUẬN 2,"28 Đ. Số 1, An Phú, Quận 2, Thành phố Hồ Chí Minh 70000, Vietnam",nhahangcoida.vn,+84 90 489 49 29,81,4.9,"['https://lh5.googleusercontent.com/p/AF1QipMyJDfo9iXsrRr4_BW7boQtd7ejnL0LPHZwkt58', 'https://lh5.googleusercontent.com/p/AF1QipPoBTi55yl9Fa_1-7SIQgq4KObEf5xSKPy_Bk2t']"
36,Pendolasco,"30 Tống Hữu Định, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Vietnam",pendolasco.vn,+84 1800 969663,,,"['https://lh5.googleusercontent.com/p/AF1QipPbD30ABrSg9-Bbd5SKT_URAvGPgHDgz1oldBNH', 'https://lh5.googleusercontent.com/p/AF1QipMyJDfo9iXsrRr4_BW7boQtd7ejnL0LPHZwkt58']"
37,Nhà Hàng Vị Ngon,"đường 35 Trần Não, P. Bình An, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,+84 91 247 34 34,,,"['https://lh5.googleusercontent.com/p/AF1QipOMZ-Df8s7L-n1LvKMHOM9sBy-7X7ujBuAqaAVT', 'https://lh5.googleusercontent.com/p/AF1QipPbD30ABrSg9-Bbd5SKT_URAvGPgHDgz1oldBNH']"
38,Nhà hàng Hoàng Tâm - Song Hành,"47 Song Hành, Khu Phố 5, Quận 2, Thành phố Hồ Chí Minh 70000, Vietnam",nhahanghoangtam.vn,+84 28 6670 2121,247,4.3,"['https://lh5.googleusercontent.com/p/AF1QipO5K3kJM0jT8TWYmAi4mkD1hWbqXII-F9iVQ94j', 'https://lh5.googleusercontent.com/p/AF1QipOMZ-Df8s7L-n1LvKMHOM9sBy-7X7ujBuAqaAVT']"
39,CỎ Garden,"74-76 Trần Não, Khu phố 2, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,+84 888 271 166,,,"['https://lh5.googleusercontent.com/p/AF1QipM5EOG5PEsvFEl2C5Ek70FYqnEJxPaQFdOYwKOo', 'https://lh5.googleusercontent.com/p/AF1QipO5K3kJM0jT8TWYmAi4mkD1hWbqXII-F9iVQ94j']"
40,3G Trois Gourmand,"39 Đ. Trần Ngọc Diện, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 70000, Vietnam",3gourmandsaigon.com.vn,+84 90 822 58 84,,,"['https://lh5.googleusercontent.com/p/AF1QipMscXEdegvilI_tfDC94IeEe285HrY8b-vBrVKT', 'https://lh5.googleusercontent.com/p/AF1QipM5EOG5PEsvFEl2C5Ek70FYqnEJxPaQFdOYwKOo']"
41,Bistro Song Vie Saigon,"197/2 Nguyễn Văn Hưởng, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Vietnam",songvie.com,+84 28 3744 6090,310,4.5,"['https://lh5.googleusercontent.com/p/AF1QipP97y9-2Z_ygq-m5ycrgAsH-CHNSbv_LDlVCjb4', 'https://lh5.googleusercontent.com/p/AF1QipMscXEdegvilI_tfDC94IeEe285HrY8b-vBrVKT']"
42,Nhà hàng Sông Giồng,"305 Thân Văn Nhiếp, An Phú, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam",facebook.com,+84 90 824 37 40,67,4.1,"['https://lh5.googleusercontent.com/p/AF1QipPtfQ7DJYVwPukeIn6AeVuvJsRPsjPvOMxpLZPl', 'https://lh5.googleusercontent.com/p/AF1QipP97y9-2Z_ygq-m5ycrgAsH-CHNSbv_LDlVCjb4']"
43,Ashima Mushroom Hotpot,"93 Xuân Thủy, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,+84 28 7300 7415,,,"['https://lh5.googleusercontent.com/p/AF1QipOvvJdpi7Fd_9GsVJoObR5w60sQwm7BJmHSfrwE', 'https://lh5.googleusercontent.com/p/AF1QipPtfQ7DJYVwPukeIn6AeVuvJsRPsjPvOMxpLZPl']"
44,Nhà Hàng Ẩm Thực 39,"39 Trần Não, P. Bình An, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,+84 28 6260 7162,243,3.9,"['https://lh5.googleusercontent.com/p/AF1QipNlzHuJnwflHjiPIzdnW3nkK56rX37EVvFJmiLd', 'https://lh5.googleusercontent.com/p/AF1QipOvvJdpi7Fd_9GsVJoObR5w60sQwm7BJmHSfrwE']"
45,Gà Tươi Vị Ngon,"68 Song Hành, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam",facebook.com,+84 90 951 67 77,12,4.7,"['https://lh5.googleusercontent.com/p/AF1QipMveFWmBmKAa0nsYeho4xYfJG6u2fzAOU5bjnws', 'https://lh5.googleusercontent.com/p/AF1QipNlzHuJnwflHjiPIzdnW3nkK56rX37EVvFJmiLd']"
46,Sông - Seafood & Grill,"39 Đ. Số 38, Khu phố 1, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam",songseafoodgrill.vn,+84 796 388 989,532,4.1,"['https://lh5.googleusercontent.com/p/AF1QipPYZ8csnfXUp4yxQ0mc0jVyGGjvmsqY3Y9wSbGS', 'https://lh5.googleusercontent.com/p/AF1QipMveFWmBmKAa0nsYeho4xYfJG6u2fzAOU5bjnws']"
47,Nhà hàng Nam Bộ,"200 Trần Não, P. Bình An, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam",nhahangnambo.com.vn,+84 1800 1777,,,"['https://lh5.googleusercontent.com/p/AF1QipMpIywTvFMCQQ3JwFl-WDm7NdRMRS-axd9hF0FO', 'https://lh5.googleusercontent.com/p/AF1QipPYZ8csnfXUp4yxQ0mc0jVyGGjvmsqY3Y9wSbGS']"
48,Kim Thao Restaurant baby duck egg,"104 Xuân Thủy, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Vietnam",sanclick.com,+84 93 761 07 14,,,"['https://lh5.googleusercontent.com/p/AF1QipNXS8xpqvWFOaVe8HrCp2MNgdBtccPiCki4CExt', 'https://lh5.googleusercontent.com/p/AF1QipMpIywTvFMCQQ3JwFl-WDm7NdRMRS-axd9hF0FO']"
49,Nhà Hàng Ẩm Thực Vườn Thảo Điền,"42 Đ. Quốc Hương, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,,1,4.0,"['https://lh5.googleusercontent.com/p/AF1QipNBKm4kONNqzbSbIQVkxYCVb8TYN333bzZNQHXh', 'https://lh5.googleusercontent.com/p/AF1QipNXS8xpqvWFOaVe8HrCp2MNgdBtccPiCki4CExt']"
50,The Deck Saigon,"38 Nguyễn Ư Dĩ, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 10000, Vietnam",thedecksaigon.com,+84 28 3744 6632,,,"['https://lh5.googleusercontent.com/p/AF1QipN0eNdjiBbtaXkPvUdRhadzCdlIY8zXUDc1xzTx', 'https://lh5.googleusercontent.com/p/AF1QipNBKm4kONNqzbSbIQVkxYCVb8TYN333bzZNQHXh']"
51,ẨM THỰC TƯ THÌ QUẬN 2,"717A Nguyễn Thị Định, Cát Lái, Quận 2, Thành phố Hồ Chí Minh, Vietnam",amthuctuthiquan2.business.site,+84 93 306 71 71,94,3.9,"['https://lh5.googleusercontent.com/p/AF1QipMzmI68qnqGZrTNr__n8p8YRamJ1QcX7z4317bE', 'https://lh5.googleusercontent.com/p/AF1QipN0eNdjiBbtaXkPvUdRhadzCdlIY8zXUDc1xzTx']"
52,CLB Tennis Và Nhà Hàng CAO NGUYÊN,"277G Ấp 2, An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,,26,4.3,"['https://lh5.googleusercontent.com/p/AF1QipMGr3QqHome5ZJOLBx561q0z7O1QQdfiOcYccIp', 'https://lh5.googleusercontent.com/p/AF1QipMzmI68qnqGZrTNr__n8p8YRamJ1QcX7z4317bE']"
53,Lang Ba Ba Song Viet Restaurant,"182 Trần Não, P. Bình An, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,+84 28 6287 2043,53,3.9,"['https://lh5.googleusercontent.com/p/AF1QipOpCWyPOh210DO67HLxgk-ugeR0EeTN-CO95e9g', 'https://lh5.googleusercontent.com/p/AF1QipMGr3QqHome5ZJOLBx561q0z7O1QQdfiOcYccIp']"
54,Pendula Garden Restaurant & Louge,"53 Đường Quách Giai, Phường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,+84 93 889 08 70,,,"['https://lh5.googleusercontent.com/p/AF1QipNukzi-OsxVIOv3_9ervX2kynAtiRBO9QSl3u6f', 'https://lh5.googleusercontent.com/p/AF1QipOpCWyPOh210DO67HLxgk-ugeR0EeTN-CO95e9g']"
55,Nhà Hàng Chay Bồ Đề Tịnh Tâm Quận 2,"160 Trần Não, P. Bình An, Quận 2, Thành phố Hồ Chí Minh, Vietnam",bodetinhtam.com,+84 93 534 38 08,,,"['https://lh5.googleusercontent.com/p/AF1QipNGaHdk78Gct5t8kTtMXrQ0kThejqX_ZzuZfqqc', 'https://lh5.googleusercontent.com/p/AF1QipNukzi-OsxVIOv3_9ervX2kynAtiRBO9QSl3u6f']"
56,Nhà hàng XUỒNG BA LÁ,"78 Song Hành, Khu đô thị An Phú An Khánh, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam",nhahangxuongbala.com,+84 98 663 12 96,247,4.9,"['https://lh5.googleusercontent.com/p/AF1QipPgQNcxTNQysn5ZUpyIobUW6QMp-74nx0eeQTSm', 'https://lh5.googleusercontent.com/p/AF1QipNGaHdk78Gct5t8kTtMXrQ0kThejqX_ZzuZfqqc']"
57,Hana Buffet Quận 2,"1 Nguyễn Quý Đức, Khu đô thị An Phú An Khánh, Quận 2, Thành phố Hồ Chí Minh, Vietnam",hana.vn,+84 1900 555579,,,"['https://lh5.googleusercontent.com/p/AF1QipMjLB_ZSE1eqTpz_jDa2dXGRCfpA1UXSxjGItZs', 'https://lh5.googleusercontent.com/p/AF1QipPgQNcxTNQysn5ZUpyIobUW6QMp-74nx0eeQTSm']"
58,Kub Kao Thai,"105 Trương Văn Bang, Phường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh, Vietnam",nhahangthaiquan2.com,+84 91 571 82 28,26,4.2,"['https://lh5.googleusercontent.com/p/AF1QipOfl8cO7NSK3HzubdU0HQZlXXDov2w19mCapGdj', 'https://lh5.googleusercontent.com/p/AF1QipMjLB_ZSE1eqTpz_jDa2dXGRCfpA1UXSxjGItZs']"
59,Ẩm Thực Sông Xanh,"Số 11 đường 104TML, Phường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh, Vietnam",,+84 1900 561518,45,4.6,"['https://lh5.googleusercontent.com/p/AF1QipPoCyVShnUUAc-GViizcrG5QgZ95oB7A0nN9_Wq', 'https://lh5.googleusercontent.com/p/AF1QipOfl8cO7NSK3HzubdU0HQZlXXDov2w19mCapGdj']"
60,Côn Sơn Restaurant & Lounge,"80-84 Trần Quốc Thảo, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",business.google.com,+84 90 638 85 98,108,4.3,"['https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-', 'https://lh5.googleusercontent.com/p/AF1QipNxq2f06grYEj73ZgIPmVy7Xt044vT96Jq0uK36']"
61,"Búp Sky Lounge & Restaurant | Nhà Hàng Rooftop Quận 1, Tp.HCM","65-67-69 Đ. Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",theodyshotel.com,+84 765 599 859,292,4.8,"['https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-', 'https://lh5.googleusercontent.com/p/AF1QipNxq2f06grYEj73ZgIPmVy7Xt044vT96Jq0uK36']"
